,Date,Regular nums,Supplementary nums
363,07.02.2014,"[18, 36, 20, 49, 16]","[3, 4]"
364,31.01.2014,"[17, 39, 12, 29, 40]","[5, 6]"
365,24.01.2014,"[46, 36, 30, 28, 4]","[3, 7]"
366,17.01.2014,"[17, 4, 29, 25, 7]","[2, 4]"
367,10.01.2014,"[18, 8, 33, 40, 22]","[8, 2]"
368,03.01.2014,"[1, 16, 37, 36, 34]","[4, 6]"
369,27.12.2013,"[2, 15, 43, 40, 33]","[3, 7]"
370,20.12.2013,"[37, 12, 22, 9, 40]","[8, 6]"
371,13.12.2013,"[28, 49, 24, 9, 19]","[8, 2]"
372,06.12.2013,"[47, 18, 8, 25, 1]","[7, 2]"
373,29.11.2013,"[35, 17, 25, 32, 45]","[7, 4]"
374,22.11.2013,"[1, 47, 38, 42, 39]","[2, 1]"
375,15.11.2013,"[3, 43, 19, 48, 32]","[4, 8]"
376,08.11.2013,"[42, 28, 34, 25, 18]","[4, 3]"
377,01.11.2013,"[26, 13, 27, 7, 10]","[8, 5]"
378,25.10.2013,"[9, 41, 25, 46, 39]","[8, 2]"
379,18.10.2013,"[24, 41, 7, 25, 22]","[1, 3]"
380,11.10.2013,"[34, 2, 11, 29, 23]","[7, 8]"
381,04.10.2013,"[7, 48, 16, 21, 1]","[1, 8]"
382,27.09.2013,"[10, 36, 21, 34, 6]","[4, 1]"
383,20.09.2013,"[15, 2, 6, 24, 18]","[5, 7]"
384,13.09.2013,"[3, 10, 43, 18, 31]","[1, 7]"
385,06.09.2013,"[7, 32, 44, 3, 20]","[5, 4]"
386,30.08.2013,"[9, 43, 17, 6, 10]","[8, 2]"
387,23.08.2013,"[10, 4, 25, 30, 47]","[2, 3]"
388,16.08.2013,"[32, 38, 33, 49, 5]","[8, 3]"
389,09.08.2013,"[34, 49, 7, 32, 26]","[6, 1]"
390,02.08.2013,"[14, 37, 29, 33, 23]","[5, 2]"
391,26.07.2013,"[13, 25, 4, 19, 43]","[3, 4]"
392,19.07.2013,"[7, 37, 19, 33, 18]","[2, 5]"
393,12.07.2013,"[47, 33, 48, 7, 27]","[2, 7]"
394,05.07.2013,"[16, 50, 15, 19, 17]","[7, 5]"
395,28.06.2013,"[49, 23, 33, 8, 6]","[8, 3]"
396,21.06.2013,"[5, 50, 14, 23, 21]","[7, 2]"
397,14.06.2013,"[1, 47, 48, 25, 46]","[8, 3]"
398,07.06.2013,"[9, 35, 6, 11, 29]","[6, 2]"
399,31.05.2013,"[9, 40, 12, 5, 23]","[7, 2]"
400,24.05.2013,"[20, 2, 41, 4, 9]","[5, 3]"
401,17.05.2013,"[6, 32, 4, 10, 13]","[1, 8]"
402,10.05.2013,"[33, 35, 31, 9, 6]","[7, 1]"
403,03.05.2013,"[48, 28, 16, 14, 44]","[7, 3]"
404,26.04.2013,"[11, 19, 23, 49, 14]","[5, 4]"
405,19.04.2013,"[24, 17, 18, 25, 22]","[6, 1]"
406,12.04.2013,"[22, 8, 19, 40, 32]","[8, 1]"
407,05.04.2013,"[38, 22, 31, 41, 37]","[2, 6]"
408,29.03.2013,"[37, 27, 1, 50, 22]","[7, 5]"
